"count";"city"
1;"Robamba"
1;"Baku"
1;"Ambattur"
1;"Lublin"
1;"Uluberia"
1;"Jhansi"
1;"Dongying"
1;"South Hill"
1;"La Plata"
1;"Tel Aviv-Jaffa"
1;"Po"
1;"Nezahualcyotl"
1;"Zanzibar"
1;"Yingkou"
1;"Tete"
1;"Amroha"
1;"La Paz"
1;"Ueda"
1;"Braslia"
1;"Jaipur"
1;"Purnea (Purnia)"
1;"Mysore"
1;"Ashdod"
1;"Tongliao"
1;"Zhezqazghan"
1;"Ede"
1;"Yaound"
1;"Amersfoort"
1;"Vila Velha"
1;"Myingyan"
1;"Changhwa"
1;"Oulu"
1;"Kitwe"
1;"Gandhinagar"
1;"Pjatigorsk"
1;"Saarbrcken"
1;"Angra dos Reis"
1;"Sagamihara"
1;"al-Qatif"
1;"Stara Zagora"
1;"Wroclaw"
1;"Southend-on-Sea"
1;"Manchester"
1;"Pingxiang"
1;"Huaian"
1;"Ciudad del Este"
1;"Torren"
1;"Uijongbu"
1;"Mwanza"
1;"Witten"
1;"Balurghat"
1;"Daugavpils"
1;"Monclova"
1;"Tanshui"
1;"Korla"
1;"Qalyub"
1;"Kalisz"
1;"Paarl"
1;"Nam Dinh"
1;"Kansas City"
1;"Toulouse"
2;"Aurora"
1;"Effon-Alaiye"
1;"Vilnius"
1;"Donostia-San Sebastin"
1;"Kurashiki"
1;"Kirovo-Tepetsk"
1;"Ciparay"
1;"Ranchi"
1;"Hsichuh"
1;"Kuching"
1;"Barcelona"
1;"Linz"
1;"Sousse"
1;"San Felipe de Puerto Plata"
1;"Rio Claro"
1;"Probolinggo"
1;"Konotop"
1;"Augusta-Richmond County"
1;"Abha"
1;"Kolpino"
1;"Garden Grove"
1;"Novoterkassk"
1;"Maracabo"
1;"Maikop"
1;"Johannesburg"
1;"Zhoushan"
1;"Shimonoseki"
1;"al-Manama"
1;"Boa Vista"
1;"Kimchon"
1;"Bhopal"
1;"Valle de la Pascua"
1;"Pathankot"
1;"Shahr-e Kord"
1;"Santiago de Compostela"
1;"Citrus Heights"
1;"Sorocaba"
1;"Cavite"
1;"Memphis"
1;"Dadu"
1;"Charlotte Amalie"
1;"Czestochowa"
1;"Ezeiza"
1;"Basel"
1;"Ljubertsy"
1;"Addis Abeba"
1;"Dundee"
1;"Plock"
1;"Kamarhati"
1;"Fontana"
1;"Gijn"
1;"Sawhaj"
1;"Gorontalo"
1;"Sivas"
1;"Brest"
1;"Santa Rosa"
1;"Xinxiang"
1;"Smolensk"
1;"Simferopol"
1;"Dayton"
1;"Osmaniye"
1;"Kisumu"
1;"Juazeiro do Norte"
1;"Kingstown"
1;"Ahmadnagar"
1;"Cabuyao"
1;"Lilongwe"
1;"San Felipe del Progreso"
1;"Mukateve"
1;"Aparecida de Goinia"
1;"Balaiha"
1;"Kabul"
1;"Matsue"
1;"Bchar"
1;"Nabereznyje Telny"
1;"Juiz de Fora"
1;"Ilorin"
1;"Olomouc"
1;"Ponce"
1;"Peoria"
1;"Bilbays"
1;"Bayugan"
1;"Hodeida"
1;"Bamenda"
1;"Mahajanga"
1;"Ezhou"
1;"Inegl"
1;"Ipoh"
1;"Lungtan"
1;"Santiago de los Caballeros"
1;"Siliguri (Shiliguri)"
1;"Coacalco de Berriozbal"
1;"Iwatsuki"
1;"Salala"
1;"Tartu"
1;"Usolje-Sibirskoje"
1;"Halisahar"
1;"Beni-Mellal"
1;"Tokat"
1;"Vijayawada"
1;"Duisburg"
1;"El Alto"
1;"Bhimavaram"
1;"Idfu"
1;"Lipetsk"
1;"Adana"
1;"Zeleznogorsk"
1;"Hoshiarpur"
1;"Mandi Bahauddin"
1;"Rustenburg"
1;"Le Mans"
1;"Roanoke"
1;"Najafabad"
1;"Jastrzebie-Zdrj"
1;"Lapu-Lapu"
1;"Lancaster"
1;"Almirante Brown"
1;"Namibe"
1;"Cuernavaca"
1;"Patiala"
1;"Ibirit"
1;"Bijapur"
1;"Nukualofa"
1;"Sumy"
1;"Leshan"
1;"Nyeri"
1;"Hagonoy"
1;"Mannheim"
1;"Cam Ranh"
1;"Shikarpur"
1;"Nuuk"
1;"Alessandria"
1;"Jodhpur"
1;"Patras"
1;"Jakarta"
1;"Avellaneda"
1;"Bag"
1;"Carmen"
1;"Imus"
1;"Erlangen"
1;"Tandil"
1;"Trshavn"
1;"Quilmes"
1;"Bandar Seri Begawan"
1;"Zapopan"
1;"Brescia"
1;"Yuncheng"
1;"Iwaki"
1;"Pangkal Pinang"
1;"Touliu"
1;"Jurez"
1;"Bat Yam"
1;"Huejutla de Reyes"
1;"Sasebo"
1;"Tianjin"
1;"Arecibo"
1;"Chungho"
1;"Uttarpara-Kotrung"
1;"Sunnyvale"
1;"Salinas"
1;"s-Hertogenbosch"
1;"Fuyu"
1;"Akron"
1;"Kursk"
1;"Palghat (Palakkad)"
1;"Lengshuijiang"
1;"Rancagua"
1;"Kuwana"
1;"Poos de Caldas"
1;"Berhampore (Baharampur)"
1;"guas Lindas de Gois"
1;"So Leopoldo"
1;"Mosul"
1;"Halle/Saale"
1;"Tieli"
1;"Allende"
1;"Bergamo"
1;"Okayama"
1;"Pavlodar"
1;"Tanza"
1;"Ife"
1;"A Corua (La Corua)"
1;"La Romana"
1;"Bradford"
1;"Miyakonojo"
1;"Siegen"
1;"Balikesir"
1;"Tarsus"
1;"Matamoros"
1;"Chatsworth"
2;"London"
1;"Jining"
1;"Dallas"
1;"Pontianak"
1;"Sirjan"
1;"Nakhon Sawan"
1;"Eskisehir"
1;"Tanauan"
1;"Ocumare del Tuy"
1;"Hino"
1;"Araatuba"
1;"Taizz"
1;"Tabuk"
1;"Iligan"
1;"Junan"
1;"al-Ayn"
1;"Shenzhen"
1;"Apeldoorn"
1;"Tabora"
1;"Szkesfehrvr"
1;"Grand Prairie"
1;"Kanazawa"
1;"Kurgan"
1;"Xiangfan"
1;"Santa F"
1;"Sullana"
1;"Kowloon and New Kowloon"
1;"Fukuyama"
1;"Fuzhou"
1;"Niznekamsk"
1;"Birgunj"
1;"Hami"
1;"Anpolis"
1;"Guadalajara"
1;"Ivanovo"
1;"Maring"
1;"Oshawa"
1;"Kamjanets-Podilskyi"
1;"Hohhot"
1;"Owo"
1;"Sogamoso"
1;"Battambang"
1;"Nagaon"
1;"Varanasi (Benares)"
1;"Jaffna"
1;"Kragujevac"
1;"Omdurman"
1;"Yinchuan"
1;"Liaocheng"
1;"Haiphong"
1;"Ozamis"
1;"Batna"
1;"Tallahassee"
1;"Saint Louis"
1;"Enshi"
1;"Vinh"
1;"Huixquilucan"
1;"Tarlac"
1;"Caracas"
1;"Belm"
1;"Masqat"
1;"ostka"
1;"Faaa"
1;"Botshabelo"
1;"Naala-Porto"
1;"Kamakura"
1;"Compton"
1;"Alvorada"
1;"Oyo"
1;"Beira"
1;"Kermanshah"
1;"Sungai Petani"
1;"Atlixco"
1;"Gaziantep"
1;"Liepaja"
1;"Baha Blanca"
1;"Etawah"
1;"Vicente Lpez"
1;"Shanwei"
1;"Athenai"
